ESTACION,OPERADOR,VARIABLE,FECHA,HORA,VALOR,UNIDADMEDIDA
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,4/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,5/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,6/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,7/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,8/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,9/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,10/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,11/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,12/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,13/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,14/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,15/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,16/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,17/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,18/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,19/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,20/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,21/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,22/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,23/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,24/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,25/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,26/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,27/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,28/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,29/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,30/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,31/05/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,1/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,1/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,1/08/1965,19:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,2/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,2/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,2/08/1965,19:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,3/08/1965,07:00,0,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,3/08/1965,13:00,14.4,m/s
HUANCANO,SERVICIO NACIONAL METEOROLOGÍA E HIDROLOGÍA,VELOCVIENTO 06HOR,3/08/1965,19:00,14.4,m/s
